Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gilt_174031113,Unsimply Stitched Lounge Pant,"<ul>
<li>Color/pattern: light heather grey</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Pant,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031113/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=1&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,35.99,,True,True,,asset2.ruecdn.com/images/product/101073/1010739458_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Pant,,,False,,,,,,asset2.ruecdn.com/images/product/101073/1010739458_RLLZ_1.jpg,g,,,active
gilt_174031113,,,,,,,,,,One Color,,M,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031113,,,,,,,,,,One Color,,L,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031113,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031102,Unsimply Stitched Lounge Pant,"<ul>
<li>Color/pattern: heather grey</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Pant,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031102/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=2&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,35.99,,True,True,,asset2.ruecdn.com/images/product/101027/1010278694_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Pant,,,False,,,,,,asset2.ruecdn.com/images/product/101027/1010278694_RLLZ_1.jpg,g,,,active
gilt_174031102,,,,,,,,,,One Color,,M,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031102,,,,,,,,,,One Color,,L,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031102,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031126,Unsimply Stitched Lounge Pant,"<ul>
<li>Color/pattern: hunter green</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Pant,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031126/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=3&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,35.99,,True,True,,asset2.ruecdn.com/images/product/101094/1010942793_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Pant,,,False,,,,,,asset2.ruecdn.com/images/product/101094/1010942793_RLLZ_1.jpg,g,,,active
gilt_174031126,,,,,,,,,,One Color,,M,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031126,,,,,,,,,,One Color,,L,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031126,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031103,Unsimply Stitched Lounge Henley Hoodie,"<ul>
<li>Color/pattern: heather light blue</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Henley Hoodie,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031103/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=4&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,35.99,,True,True,,asset1.ruecdn.com/images/product/101019/1010191177_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Henley Hoodie,,,False,,,,,,asset1.ruecdn.com/images/product/101019/1010191177_RLLZ_1.jpg,g,,,active
gilt_174031103,,,,,,,,,,One Color,,M,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031103,,,,,,,,,,One Color,,L,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031103,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031122,Unsimply Stitched Lounge Cuffed Jogger,"<ul>
<li>Color/pattern: heather blue</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Cuffed Jogger,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031122/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=5&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,35.99,,True,True,,asset1.ruecdn.com/images/product/101045/1010457049_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Cuffed Jogger,,,False,,,,,,asset1.ruecdn.com/images/product/101045/1010457049_RLLZ_1.jpg,g,,,active
gilt_174031122,,,,,,,,,,One Color,,M,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031122,,,,,,,,,,One Color,,L,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031122,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031118,Unsimply Stitched Lounge Cuffed Jogger,"<ul>
<li>Color/pattern: heather grey</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Cuffed Jogger,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031118/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=6&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,35.99,,True,True,,asset1.ruecdn.com/images/product/101045/1010457014_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Cuffed Jogger,,,False,,,,,,asset1.ruecdn.com/images/product/101045/1010457014_RLLZ_1.jpg,g,,,active
gilt_174031118,,,,,,,,,,One Color,,M,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031118,,,,,,,,,,One Color,,L,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031118,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031121,Unsimply Stitched Lounge Short Sleeve Henley,"<ul>
<li>Color/pattern: heather purple</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Short Sleeve Henley,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031121/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=7&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,19.99,,True,True,,asset2.ruecdn.com/images/product/101045/1010457011_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Short Sleeve Henley,,,False,,,,,,asset2.ruecdn.com/images/product/101045/1010457011_RLLZ_1.jpg,g,,,active
gilt_174031121,,,,,,,,,,One Color,,M,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031121,,,,,,,,,,One Color,,L,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031121,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031109,Unsimply Stitched Lounge Cuffed Jogger,"<ul>
<li>Color/pattern: navy</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Cuffed Jogger,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031109/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=8&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,35.99,,True,True,,asset2.ruecdn.com/images/product/101045/1010457012_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Cuffed Jogger,,,False,,,,,,asset2.ruecdn.com/images/product/101045/1010457012_RLLZ_1.jpg,g,,,active
gilt_174031109,,,,,,,,,,One Color,,M,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031109,,,,,,,,,,One Color,,L,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031109,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,35.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031104,Unsimply Stitched Lounge Short Sleeve Henley,"<ul>
<li>Color/pattern: heather navy</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Short Sleeve Henley,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031104/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=9&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,19.99,,True,True,,asset2.ruecdn.com/images/product/101045/1010457008_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Short Sleeve Henley,,,False,,,,,,asset2.ruecdn.com/images/product/101045/1010457008_RLLZ_1.jpg,g,,,active
gilt_174031104,,,,,,,,,,One Color,,M,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031104,,,,,,,,,,One Color,,L,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031104,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031106,Unsimply Stitched Lounge Short Sleeve Henley,"<ul>
<li>Color/pattern: heather green</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Short Sleeve Henley,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031106/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=10&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,19.99,,True,True,,asset1.ruecdn.com/images/product/101045/1010457010_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Short Sleeve Henley,,,False,,,,,,asset1.ruecdn.com/images/product/101045/1010457010_RLLZ_1.jpg,g,,,active
gilt_174031106,,,,,,,,,,One Color,,M,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031106,,,,,,,,,,One Color,,L,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031106,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031117,Unsimply Stitched Lounge Short Sleeve Henley,"<ul>
<li>Color/pattern: heather light blue</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Short Sleeve Henley,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031117/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=11&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,19.99,,True,True,,asset1.ruecdn.com/images/product/101045/1010457009_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Short Sleeve Henley,,,False,,,,,,asset1.ruecdn.com/images/product/101045/1010457009_RLLZ_1.jpg,g,,,active
gilt_174031117,,,,,,,,,,One Color,,M,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031117,,,,,,,,,,One Color,,L,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031117,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031124,Unsimply Stitched Lounge Henley,"<ul>
<li>Color/pattern: heather blue</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Henley,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031124/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=12&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,25.99,,True,True,,asset2.ruecdn.com/images/product/101045/1010457006_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Henley,,,False,,,,,,asset2.ruecdn.com/images/product/101045/1010457006_RLLZ_1.jpg,g,,,active
gilt_174031124,,,,,,,,,,One Color,,M,,,,,,,deny,manual,25.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031124,,,,,,,,,,One Color,,L,,,,,,,deny,manual,25.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031124,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,25.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031115,Unsimply Stitched Lounge Short Sleeve Henley,"<ul>
<li>Color/pattern: heather white</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Short Sleeve Henley,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031115/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=13&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,19.99,,True,True,,asset2.ruecdn.com/images/product/101045/1010457007_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Short Sleeve Henley,,,False,,,,,,asset2.ruecdn.com/images/product/101045/1010457007_RLLZ_1.jpg,g,,,active
gilt_174031115,,,,,,,,,,One Color,,M,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031115,,,,,,,,,,One Color,,L,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031115,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,19.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031111,Unsimply Stitched Lounge Henley,"<ul>
<li>Color/pattern: heather white</li>
<li>60% cotton, 40% polyester</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>",Unsimply Stitched,,Unsimply Stitched Lounge Henley,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/203088/174031111/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=14&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,25.99,,True,True,,asset1.ruecdn.com/images/product/101045/1010457005_RLLZ_1.jpg,1,,False,,,,,,,Unsimply Stitched Lounge Henley,,,False,,,,,,asset1.ruecdn.com/images/product/101045/1010457005_RLLZ_1.jpg,g,,,active
gilt_174031111,,,,,,,,,,One Color,,M,,,,,,,deny,manual,25.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031111,,,,,,,,,,One Color,,L,,,,,,,deny,manual,25.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_174031111,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,25.99,,True,True,,,,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234722,McQ Alexander McQueen Metal Logo Pocket Sweatpant,"<ul>
<li>Color/pattern: skate blue</li>
<li>Design details: printed logo on back pocket</li>
<li>100% cotton</li>
<li>Hand wash</li>
</ul>",MCQ ALEXANDER MCQUEEN,,McQ Alexander McQueen Metal Logo Pocket Sweatpant,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/159297/175234722/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=15&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,199.99,,True,True,,asset1.ruecdn.com/images/product/101043/1010438021_RLLZ_1.jpg,1,,False,,,,,,,McQ Alexander McQueen Metal Logo Pocket Sweatpant,,,False,,,,,,asset1.ruecdn.com/images/product/101043/1010438021_RLLZ_1.jpg,g,,,active
gilt_175234722,,,,,,,,,,One Color,,M,,,,,,,deny,manual,199.99,,True,True,,asset2.ruecdn.com/images/product/101043/1010438021_RLLZ_2.jpg,2,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234722,,,,,,,,,,One Color,,L,,,,,,,deny,manual,199.99,,True,True,,asset2.ruecdn.com/images/product/101043/1010438021_RLLDTH_1.jpg,3,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234722,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,199.99,,True,True,,asset1.ruecdn.com/images/product/101043/1010438021_RLLDTH_2.jpg,4,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234722,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,asset2.ruecdn.com/images/product/101043/1010438021_RLLA_1.jpg,5,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234722,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,asset2.ruecdn.com/images/product/101043/1010438021_RLLA_2.jpg,6,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234706,McQ Alexander McQueen Tour Logo Pocket Sweatpant,"<ul>
<li>Color/pattern: optic white</li>
<li>Design details: printed logo on back pocket</li>
<li>100% cotton</li>
<li>Hand wash</li>
</ul>",MCQ ALEXANDER MCQUEEN,,McQ Alexander McQueen Tour Logo Pocket Sweatpant,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/159297/175234706/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=16&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,229.99,,True,True,,asset1.ruecdn.com/images/product/101043/1010438026_RLLZ_1.jpg,1,,False,,,,,,,McQ Alexander McQueen Tour Logo Pocket Sweatpant,,,False,,,,,,asset1.ruecdn.com/images/product/101043/1010438026_RLLZ_1.jpg,g,,,active
gilt_175234706,,,,,,,,,,One Color,,M,,,,,,,deny,manual,229.99,,True,True,,asset1.ruecdn.com/images/product/101043/1010438026_RLLZ_2.jpg,2,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234706,,,,,,,,,,One Color,,L,,,,,,,deny,manual,229.99,,True,True,,asset1.ruecdn.com/images/product/101043/1010438026_RLLDTH_1.jpg,3,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234706,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,229.99,,True,True,,asset2.ruecdn.com/images/product/101043/1010438026_RLLDTH_2.jpg,4,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234706,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,asset1.ruecdn.com/images/product/101043/1010438026_RLLA_1.jpg,5,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234706,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,asset2.ruecdn.com/images/product/101043/1010438026_RLLA_2.jpg,6,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234757,McQ Alexander McQueen Foil Logo Pocket Sweatpant,"<ul>
<li>Color/pattern: grey melange</li>
<li>Design details: printed logo design on one leg</li>
<li>100% cotton</li>
<li>Hand wash</li>
</ul>",MCQ ALEXANDER MCQUEEN,,McQ Alexander McQueen Foil Logo Pocket Sweatpant,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/159297/175234757/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=17&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,269.99,,True,True,,asset1.ruecdn.com/images/product/101043/1010438035_RLLZ_1.jpg,1,,False,,,,,,,McQ Alexander McQueen Foil Logo Pocket Sweatpant,,,False,,,,,,asset1.ruecdn.com/images/product/101043/1010438035_RLLZ_1.jpg,g,,,active
gilt_175234757,,,,,,,,,,One Color,,M,,,,,,,deny,manual,269.99,,True,True,,asset2.ruecdn.com/images/product/101043/1010438035_RLLZ_2.jpg,2,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234757,,,,,,,,,,One Color,,L,,,,,,,deny,manual,269.99,,True,True,,asset2.ruecdn.com/images/product/101043/1010438035_RLLDTH_1.jpg,3,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234757,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,269.99,,True,True,,asset1.ruecdn.com/images/product/101043/1010438035_RLLDTH_2.jpg,4,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234757,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,asset1.ruecdn.com/images/product/101043/1010438035_RLLA_1.jpg,5,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234757,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,asset2.ruecdn.com/images/product/101043/1010438035_RLLA_2.jpg,6,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234961,Marcelo Burlon Cross Regular Sweatpant,"<ul>
<li>Color/pattern: black blue</li>
<li>Design details: regular fit, elastic-waistband, ribbed ankle cuffs, back slit pocket</li>
<li>95% cotton, 5% spandex</li>
<li>Hand wash</li>
</ul>",Marcelo Burlon,,Marcelo Burlon Cross Regular Sweatpant,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/159297/175234961/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=18&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,249.90,,True,True,,asset1.ruecdn.com/images/product/101096/1010969607_RLLZ_1.jpg,1,,False,,,,,,,Marcelo Burlon Cross Regular Sweatpant,,,False,,,,,,asset1.ruecdn.com/images/product/101096/1010969607_RLLZ_1.jpg,g,,,active
gilt_175234961,,,,,,,,,,One Color,,M,,,,,,,deny,manual,249.90,,True,True,,asset1.ruecdn.com/images/product/101096/1010969607_RLLZ_2.jpg,2,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234961,,,,,,,,,,One Color,,L,,,,,,,deny,manual,249.90,,True,True,,asset2.ruecdn.com/images/product/101096/1010969607_RLLDTH_1.jpg,3,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234961,,,,,,,,,,One Color,,2X,,,,,,,deny,manual,249.90,,True,True,,asset1.ruecdn.com/images/product/101096/1010969607_RLLDTH_2.jpg,4,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234961,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,asset1.ruecdn.com/images/product/101096/1010969607_RLLA_1.jpg,5,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234961,,,,,,,,,,,,,,,,,,,deny,manual,,,True,True,,asset1.ruecdn.com/images/product/101096/1010969607_RLLA_2.jpg,6,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234692,McQ Alexander McQueen Tour Logo Pocket Sweatpant,"<ul>
<li>Color/pattern: darkest black</li>
<li>Design details: printed logo on back pocket</li>
<li>100% cotton</li>
<li>Hand wash</li>
</ul>",MCQ ALEXANDER MCQUEEN,,McQ Alexander McQueen Tour Logo Pocket Sweatpant,"Men, Clothing, Activewear & Loungewear, None",True,https://www.gilt.com/boutique/product/159297/175234692/?dsi=CAT-2140890951--a05a52ab-faee-40e5-b7b1-8b9f2dae1289&lsi=a6601dea-c3ec-4501-983c-526d4fd4f4b2&pos=19&fromPlp=true,Color,One Color,Size,S,,,,,,,deny,manual,229.99,,True,True,,asset2.ruecdn.com/images/product/101043/1010438027_RLLZ_1.jpg,1,,False,,,,,,,McQ Alexander McQueen Tour Logo Pocket Sweatpant,,,False,,,,,,asset2.ruecdn.com/images/product/101043/1010438027_RLLZ_1.jpg,g,,,active
gilt_175234692,,,,,,,,,,One Color,,M,,,,,,,deny,manual,229.99,,True,True,,asset1.ruecdn.com/images/product/101043/1010438027_RLLZ_2.jpg,2,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234692,,,,,,,,,,One Color,,L,,,,,,,deny,manual,229.99,,True,True,,asset2.ruecdn.com/images/product/101043/1010438027_RLLDTH_1.jpg,3,,,,,,,,,,,,,,,,,,,g,,,
gilt_175234692,,,,,,,,,,One Color,,XL,,,,,,,deny,manual,229.99,,True,True,,asset1.ruecdn.com/images/product/101043/1010438027_RLLDTH_2.jpg,4,,,,,,,,,,,,,,,,,,,g,,,
